"Date","Close","Open","High","Low","percentage"
"2017年12月25日","1.1952","1.1885","1.1958","1.1884","0.56%"
"2017年12月22日","1.1885","1.1876","1.1912","1.1874","0.09%"
"2017年12月21日","1.1874","1.1892","1.1937","1.1872","-0.15%"
"2017年12月20日","1.1892","1.1836","1.1901","1.1835","0.49%"
"2017年12月19日","1.1834","1.1813","1.1850","1.1811","0.18%"
"2017年12月18日","1.1813","1.1821","1.1824","1.1811","-0.04%"
"2017年12月15日","1.1818","1.1812","1.1826","1.1812","0.04%"
"2017年12月14日","1.1813","1.1794","1.1827","1.1793","0.16%"
"2017年12月13日","1.1794","1.1791","1.1799","1.1784","0.03%"
"2017年12月12日","1.1791","1.1793","1.1804","1.1787","-0.03%"
"2017年12月11日","1.1795","1.1790","1.1809","1.1790","0.06%"
"2017年12月8日","1.1788","1.1793","1.1806","1.1787","-0.06%"
"2017年12月7日","1.1795","1.1814","1.1820","1.1793","-0.14%"
"2017年12月6日","1.1812","1.1807","1.1821","1.1803","0.03%"
"2017年12月5日","1.1809","1.1812","1.1828","1.1805","-0.01%"
"2017年12月4日","1.1810","1.1802","1.1823","1.1801","0.03%"
"2017年12月1日","1.1806","1.1809","1.1832","1.1804","-0.03%"
"2017年11月30日","1.1810","1.1821","1.1832","1.1804","-0.03%"
"2017年11月29日","1.1814","1.1804","1.1837","1.1796","0.03%"
"2017年11月28日","1.1810","1.1830","1.1845","1.1807","-0.13%"
"2017年11月27日","1.1825","1.1823","1.1838","1.1801","-0.02%"
"2017年11月24日","1.1827","1.1861","1.1884","1.1820","-0.32%"
"2017年11月23日","1.1865","1.1822","1.1891","1.1821","0.41%"
"2017年11月22日","1.1816","1.1779","1.1823","1.1778","0.29%"
"2017年11月21日","1.1782","1.1769","1.1796","1.1766","0.08%"
"2017年11月20日","1.1773","1.1790","1.1796","1.1770","-0.11%"
"2017年11月17日","1.1786","1.1777","1.1801","1.1773","0.07%"
"2017年11月16日","1.1778","1.1785","1.1788","1.1764","-0.06%"
"2017年11月15日","1.1785","1.1762","1.1804","1.1761","0.23%"
"2017年11月14日","1.1758","1.1747","1.1764","1.1744","0.09%"
"2017年11月13日","1.1748","1.1748","1.1752","1.1733","0.02%"
"2017年11月10日","1.1746","1.1744","1.1761","1.1740","0.01%"
"2017年11月9日","1.1745","1.1764","1.1776","1.1738","-0.16%"
"2017年11月8日","1.1764","1.1756","1.1778","1.1748","0.09%"
"2017年11月7日","1.1754","1.1759","1.1790","1.1750","-0.06%"
"2017年11月6日","1.1761","1.1751","1.1777","1.1749","0.08%"
"2017年11月3日","1.1752","1.1806","1.1820","1.1752","-0.44%"
"2017年11月2日","1.1804","1.1816","1.1849","1.1796","-0.08%"
"2017年11月1日","1.1813","1.1757","1.1817","1.1755","0.47%"
"2017年10月31日","1.1758","1.1733","1.1779","1.1733","0.20%"
"2017年10月30日","1.1734","1.1734","1.1750","1.1733","0.02%"
"2017年10月27日","1.1732","1.1744","1.1746","1.1711","-0.12%"
"2017年10月26日","1.1746","1.1753","1.1776","1.1744","-0.05%"
"2017年10月25日","1.1752","1.1764","1.1770","1.1742","-0.08%"
"2017年10月24日","1.1761","1.1748","1.1782","1.1745","0.11%"
"2017年10月23日","1.1748","1.1786","1.1786","1.1745","-0.31%"
"2017年10月20日","1.1785","1.1792","1.1813","1.1779","-0.06%"
"2017年10月19日","1.1792","1.1783","1.1802","1.1760","0.08%"
"2017年10月18日","1.1783","1.1791","1.1823","1.1780","-0.05%"
"2017年10月17日","1.1789","1.1847","1.1851","1.1784","-0.49%"
"2017年10月16日","1.1847","1.1866","1.1877","1.1845","-0.15%"
"2017年10月13日","1.1865","1.1849","1.1881","1.1842","0.12%"
"2017年10月12日","1.1851","1.1845","1.1865","1.1832","0.03%"
"2017年10月11日","1.1847","1.1881","1.1882","1.1831","-0.24%"
"2017年10月10日","1.1876","1.1779","1.1877","1.1775","0.79%"
"2017年10月9日","1.1783","1.1736","1.1792","1.1723","0.43%"
"2017年10月6日","1.1732","1.1738","1.1738","1.1728","-0.05%"
"2017年10月5日","1.1738","1.1735","1.1739","1.1732","0.03%"
"2017年10月4日","1.1735","1.1741","1.1741","1.1731","-0.05%"
"2017年10月3日","1.1741","1.1742","1.1743","1.1739","-0.01%"
"2017年10月2日","1.1742","1.1740","1.1742","1.1736","0.01%"
"2017年9月29日","1.1741","1.1713","1.1768","1.1685","0.15%"
"2017年9月28日","1.1723","1.1762","1.1770","1.1703","-0.29%"
"2017年9月27日","1.1757","1.1764","1.1784","1.1753","-0.06%"
"2017年9月26日","1.1764","1.1803","1.1823","1.1764","-0.32%"
"2017年9月25日","1.1802","1.1850","1.1851","1.1790","-0.39%"
"2017年9月22日","1.1848","1.1839","1.1881","1.1834","0.04%"
"2017年9月21日","1.1843","1.1862","1.1868","1.1816","-0.18%"
"2017年9月20日","1.1864","1.1856","1.1901","1.1855","0.08%"
"2017年9月19日","1.1854","1.1894","1.1894","1.1823","-0.30%"
"2017年9月18日","1.1890","1.1931","1.1943","1.1885","-0.36%"
"2017年9月15日","1.1933","1.1915","1.1959","1.1914","0.13%"
"2017年9月14日","1.1918","1.1943","1.1946","1.1906","-0.19%"
"2017年9月13日","1.1941","1.1955","1.1985","1.1939","-0.09%"
"2017年9月12日","1.1952","1.1958","1.1977","1.1934","-0.08%"
"2017年9月11日","1.1962","1.2054","1.2056","1.1962","-0.75%"
"2017年9月8日","1.2053","1.2046","1.2134","1.2017","0.05%"
